Var,availRatio,nonZeroRatio
Var0, 1.0, 9.999999999998899e-05
Var1, 1.0, 0.0008799999999999919
Var2, 1.0, 0.0020999999999999908
Var3, 1.0, 0.0006000000000000449
Var4, 1.0, 0.07569999999999999
Var5, 1.0, 0.0043600000000000305
Var6, 1.0, 0.020140000000000047
Var7, 1.0, 0.0012600000000000389
Var8, 1.0, 0.0047800000000000065
Var9, 1.0, 0.0013600000000000279
Var10, 1.0, 0.07045999999999997
Var11, 1.0, 4.0000000000040004e-05
Var12, 1.0, 0.016140000000000043
Var13, 1.0, 0.0041600000000000525
Var14, 1.0, 0.0
Var15, 1.0, 0.0013199999999999878
Var16, 1.0, 0.17445999999999995
Var17, 1.0, 0.00036000000000002697
Var18, 1.0, 0.08182
Var19, 1.0, 0.009419999999999984
Var20, 1.0, 0.31433999999999995
Var21, 1.0, 0.8492
Var22, 1.0, 0.0011600000000000499
Var23, 1.0, 0.0010599999999999499
Var24, 1.0, 0.0025800000000000267
Var25, 1.0, 0.0013999999999999568
Var26, 1.0, 0.0040799999999999725
Var27, 1.0, 0.8920399999999999
Var28, 1.0, 0.00546000000000002
Var29, 1.0, 0.0024800000000000377
Var30, 1.0, 0.00019999999999997797
Var31, 1.0, 0.0019200000000000328
Var32, 1.0, 0.010619999999999963
Var33, 1.0, 0.0013400000000000079
Var34, 1.0, 0.006380000000000052
Var35, 1.0, 9.999999999998899e-05
Var36, 1.0, 7.999999999996898e-05
Var37, 1.0, 0.0024800000000000377
Var38, 1.0, 0.14007999999999998
Var39, 1.0, 0.0022799999999999487
Var40, 1.0, 0.000260000000000038
Var41, 1.0, 0.0046199999999999575
Var42, 1.0, 0.0
Var43, 1.0, 0.0008200000000000429
Var44, 1.0, 0.0027000000000000357
Var45, 1.0, 0.07210000000000005
Var46, 1.0, 0.8679600000000001
Var47, 1.0, 0.0012999999999999678
Var48, 1.0, 4.0000000000040004e-05
Var49, 1.0, 0.9777
Var50, 1.0, 0.0006399999999999739
Var51, 0.0, 1.0
Var52, 1.0, 0.06921999999999995
